Functional Group,H-Peak1,H-Peak2,H-Peak3,H-Peak4,H-Peak5,H-Peak6,H-Peak7,C-Peak1,C-Peak2,C-Peak3,C-Peak4,C-Peak5,C-Peak6,C-Peak7,C-Peak8
phenol,7.24,6.931,6.838,5.35,0,0,0,155.02,129.79,121.09,115.48,0,0,0,0
phenol,7.117,6.75,6.65,6.64,5.06,2.297,0,155.7,139.92,129.51,116.26,112.51,21.24,0,0
phenol,7.11,7.07,6.82,6.74,4.79,2.236,0,153.58,131.14,127.12,124.15,120.94,115.12,15.72,0
phenol,7.002,6.721,5.2,2.254,0,0,0,152.92,130.17,115.35,20.39,0,0,0,0
phenol,8.83,6.78,6.018,6.01,5.942,4.85,0,158,149.63,129.3,105.46,103.42,101.08,0,0
phenol,8.9,6.649,6.587,6.543,6.4,4.4,0,143.95,136.4,119.47,116.48,114.47,114.44,0,0
phenol,8.36,6.485,6.426,4.36,0,0,0,148.25,140.46,115.51,115.26,0,0,0,0
phenol,8.24,6.815,6.676,0,0,0,0,152.77,131.05,119.82,115.74,0,0,0,0
phenol,7.02,7,6.97,6.81,5.88,0,0,156,143.81,125.01,121.11,117.5,115.98,0,0
phenol,10.66,7.654,6.932,0,0,0,0,161.6,134.16,119.47,116.4,101.06,0,0,0
phenol,7.5,7.45,7.1,7.06,6.95,0,0,159.16,134.88,133.08,120.75,116.74,99.29,0,0
phenol,7.349,7.235,7.178,7.151,6.85,0,0,156.57,130.71,124.42,121.2,118.88,118.69,112.18,0
phenol,6.959,6.756,6.624,4.76,2.269,2.159,0,153.42,138.37,126.03,122.81,122.54,112.86,19.98,11.43
phenol,8.29,6.444,6.415,6.357,4.14,1.985,0,148.3,138.38,122.61,116.81,115.19,112.9,17.47,0
phenol,7.064,6.758,4.85,2.575,1.199,0,0,153.05,136.76,128.98,115.39,27.98,15.78,0,0
phenol,7.146,6.779,6.683,6.652,5.07,2.595,1.211,155.21,146.38,129.59,120.64,115.06,112.78,28.71,15.32
phenol,6.978,6.64,6.575,4.7,2.205,2.176,0,153.13,137.99,130.55,128.77,116.82,112.62,19.73,18.69
phenol,7.142,7.081,6.887,6.757,4.8,2.639,1.237,153.22,130.25,129.37,127,121.06,115.32,22.89,13.97
phenol,9.25,7.107,6.711,4.97,4.364,0,0,156.11,132.67,128.02,114.78,62.8,0,0,0
phenol,10.19,7.393,7.075,6.853,6.806,3.38,0,154.57,127.92,127.32,121.44,119.76,115.06,0,0
carboxylic acid,10.99,8.06,0,0,0,0,0,166.22,0,0,0,0,0,0,0
carboxylic acid,11.42,2.098,0,0,0,0,0,178.12,20.8,0,0,0,0,0,0
carboxylic acid,12,6.52,6.14,5.96,0,0,0,171.95,133.15,128.14,0,0,0,0,0
carboxylic acid,11.73,2.38,1.159,0,0,0,0,181.46,27.63,8.89,0,0,0,0,0
carboxylic acid,12,3.823,0,0,0,0,0,165.65,115.5,24.57,0,0,0,0,0
carboxylic acid,11.3,6.256,5.679,1.955,0,0,0,173.47,136.1,127.89,17.89,0,0,0,0
carboxylic acid,12.1,2.766,1.91,1.84,1.716,1.597,0,181.83,12.91,9.19,0,0,0,0,0
carboxylic acid,8.7,2.534,0,0,0,0,0,193.67,161.37,25.45,0,0,0,0,0
carboxylic acid,11.88,2.58,1.204,0,0,0,0,184,34.06,18.79,0,0,0,0,0
carboxylic acid,11.51,2.334,1.675,0.983,0,0,0,180.66,36.18,18.36,13.65,0,0,0,0
carboxylic acid,12.4,4.045,3.4,1.236,0,0,0,176.18,65.68,20.34,0,0,0,0,0
carboxylic acid,11,4.115,3.48,0,0,0,0,174.83,69.33,59.35,0,0,0,0,0
carboxylic acid,9.397,3.32,3.32,0,0,0,0,176.44,26.38,0,0,0,0,0,0
carboxylic acid,11.26,4.147,0,0,0,0,0,173.72,40.58,0,0,0,0,0,0
carboxylic acid,9.4,5.979,0,0,0,0,0,168.38,116.31,0,0,0,0,0,0
carboxylic acid,11.97,7.012,1.85,1.82,0,0,0,174.09,140.01,128.35,14.56,11.63,0,0,0
carboxylic acid,11.99,7.14,5.83,2.26,1.09,0,0,172.66,153.68,120.02,25.52,12.05,0,0,0
carboxylic acid,11.59,3.17,2,0,0,0,0,182.36,38.18,25.29,18.51,0,0,0,0
carboxylic acid,12.2,1.29,1.282,0.742,0,0,0,183.08,18.96,18.47,17.55,0,0,0,0
carboxylic acid,11.92,2.23,2.12,0.99,0,0,0,179.96,43.32,25.58,22.4,0,0,0,0
amide,8.206,7.475,7.213,0,0,0,0,162.83,0,0,0,0,0,0,0
amide,8.027,7.4,2.936,2.815,0,0,0,166.49,163.26,28.21,24.77,0,0,0,0
amide,5.6,0,0,0,0,0,0,159.49,0,0,0,0,0,0,0
amide,6.2,2.243,1.153,0,0,0,0,177.68,28.95,9.76,0,0,0,0,0
amide,6,2.418,1.176,0,0,0,0,180.19,35.03,19.57,0,0,0,0,0
amide,8.16,7.72,7.08,2.944,2.525,0,0,171.53,35.04,31.68,0,0,0,0,0
amide,7.68,6.3,6.18,5.71,4.81,3.47,0,166.94,130.62,127.63,64.28,0,0,0,0
amide,8.244,8.006,7.51,7.51,6.83,1.368,1.343,163.44,161.31,50.52,50.02,30.38,28.52,0,0
amide,6.89,3.282,2.826,1.997,1.38,0,0,170.98,42.67,41.54,22.98,0,0,0,0
amide,7.07,6.95,5.16,1.232,0,0,0,178.98,71.56,27.55,0,0,0,0,0
amide,13.4,8.41,7.919,7.675,0,0,0,159.73,153.53,147.19,0,0,0,0,0
amide,5.7,1.322,1.199,1.151,1.085,0.765,0,174.11,28.38,27.13,22.02,20.62,18.61,0,0
amide,8.45,7.42,6.096,0,0,0,0,166.52,132.04,0,0,0,0,0,0
amide,6.3,5.9,2.2,1.63,1.33,0.91,0,176.97,35.97,31.49,25.38,22.45,13.94,0,0
amide,8.04,7.33,7.03,3.611,1.853,0,0,171.15,169.6,41.88,22.37,0,0,0,0
amide,6.8,4.1,3.68,3.39,2.238,1.154,0,175.56,61.33,42.32,29.49,9.95,0,0,0
amide,7.77,3.628,3.577,2.072,0,0,0,171.6,43.06,41.61,22.75,0,0,0,0
amide,9.081,8.735,8.249,8.22,7.67,7.527,0,166.49,151.78,148.65,135.07,129.7,123.29,0,0
amide,9.205,8.868,8.729,8.25,7.86,0,0,165.38,147.57,144.66,144.22,142.77,0,0,0
amide,10.4,7.4,3.909,0,0,0,0,164.89,152.97,115.09,26.73,0,0,0,0